,Dates,Category,PdDistrict,Address,X,Y
15000,2015-03-03 18:27:00,KIDNAPPING,NORTHERN,700 Block of LAGUNA ST,-122.426431627648,37.7776339847429
15033,2015-03-03 17:30:00,ARSON,BAYVIEW,1100 Block of INGALLS ST,-122.380662772054,37.7304510220681
15068,2015-03-03 16:15:00,DRUNKENNESS,CENTRAL,1000 Block of COLUMBUS AV,-122.415115800125,37.8037807941664
15131,2015-03-03 14:21:00,DRUNKENNESS,MISSION,400 Block of CASTRO ST,-122.435012093789,37.7617677182954
15547,2015-03-02 13:37:00,DRUNKENNESS,INGLESIDE,100 Block of BRAZIL AV,-122.43358909542,37.7241677671483
15973,2015-02-22 11:45:00,DRUNKENNESS,BAYVIEW,1400 Block of PHELPS ST,-122.394438859914,37.73644389967321
16070,2015-02-22 03:31:00,ARSON,MISSION,SHOTWELL ST / 17TH ST,-122.416230392543,37.7636337702985
16153,2015-02-21 23:40:00,DRUNKENNESS,RICHMOND,6200 Block of GEARY BL,-122.486347492453,37.779894591415
16186,2015-02-21 22:30:00,DRUNKENNESS,TENDERLOIN,300 Block of OFARRELL ST,-122.410509258795,37.786043222299206
16213,2015-02-21 21:30:00,KIDNAPPING,INGLESIDE,3000 Block of ALEMANY BL,-122.454409729267,37.710517108365394
16560,2015-02-21 01:30:00,DRUNKENNESS,SOUTHERN,300 Block of 11TH ST,-122.413287527194,37.7711962032376
16581,2015-02-21 00:05:00,DRUNKENNESS,INGLESIDE,MISSION ST / POWERS AV,-122.419506076125,37.7461841911818
16603,2015-02-20 23:45:00,KIDNAPPING,CENTRAL,LEAVENWORTH ST / GEARY ST,-122.414809966357,37.7865194111614
16619,2015-02-20 23:10:00,KIDNAPPING,SOUTHERN,1900 Block of MARKET ST,-122.425669041358,37.7702451976438
16702,2015-02-20 20:00:00,ARSON,MISSION,1500 Block of BRYANT ST,-122.410738097315,37.767524308783
16884,2015-02-20 13:40:00,KIDNAPPING,TARAVAL,1300 Block of 47TH AV,-122.506994366516,37.761292552214
16993,2015-02-20 09:30:00,KIDNAPPING,MISSION,600 Block of VALENCIA ST,-122.421747650463,37.7627436601147
17075,2015-02-20 01:06:00,ARSON,SOUTHERN,400 Block of JESSIE ST,-122.408437135288,37.781954394999794
17175,2015-02-19 20:17:00,DRUNKENNESS,TARAVAL,1200 Block of 9TH AV,-122.466444373211,37.7649596797552
17594,2015-02-18 19:00:00,ARSON,BAYVIEW,1900 Block of CARROLL AV,-122.399768270061,37.72888128178671
17723,2015-02-18 15:00:00,DRUNKENNESS,TARAVAL,19TH AV / IRVING ST,-122.477172370751,37.763558459678
17835,2015-02-18 10:02:00,DRUNKENNESS,CENTRAL,600 Block of FILBERT ST,-122.410220142966,37.8013225692058
18006,2015-02-17 19:45:00,DRUNKENNESS,BAYVIEW,1400 Block of OAKDALE AV,-122.387527753438,37.73305496510249
18317,2015-02-17 03:30:00,KIDNAPPING,INGLESIDE,BAY SHORE BL / SUNNYDALE AV,-122.405109485404,37.7088563076781
18346,2015-02-17 00:33:00,DRUNKENNESS,TENDERLOIN,300 Block of LEAVENWORTH ST,-122.414406029855,37.7841907151119
18461,2015-02-16 18:53:00,DRUNKENNESS,SOUTHERN,200 Block of FOLSOM ST,-122.392347671978,37.7890603555993
18534,2015-02-16 16:05:00,KIDNAPPING,NORTHERN,600 Block of LARCH ST,-122.428129865519,37.7814240041364
18616,2015-02-16 13:02:00,KIDNAPPING,BAYVIEW,1800 Block of BAY SHORE BL,-122.398604184321,37.718274811427605
18617,2015-02-16 13:02:00,KIDNAPPING,BAYVIEW,1800 Block of BAY SHORE BL,-122.398604184321,37.718274811427605
18684,2015-02-16 10:00:00,DRUNKENNESS,CENTRAL,600 Block of FILBERT ST,-122.410220142966,37.8013225692058
18815,2015-02-08 22:25:00,KIDNAPPING,CENTRAL,600 Block of GEARY ST,-122.414010814727,37.7866770011071
19051,2015-02-08 09:30:00,KIDNAPPING,MISSION,600 Block of VALENCIA ST,-122.421747650463,37.7627436601147
19088,2015-02-08 07:10:00,ARSON,BAYVIEW,900 Block of INGERSON AV,-122.392493074979,37.718903919212
19089,2015-02-08 07:10:00,ARSON,BAYVIEW,1200 Block of FITZGERALD AV,-122.392216911504,37.7215602036508
19133,2015-02-08 01:50:00,DRUNKENNESS,SOUTHERN,1500 Block of FOLSOM ST,-122.414224026965,37.7715982798716
19316,2015-02-07 15:46:00,DRUNKENNESS,INGLESIDE,3300 Block of MISSION ST,-122.421644478447,37.7429970144076
19389,2015-02-07 12:06:00,DRUNKENNESS,SOUTHERN,1600 Block of MARKET ST,-122.421522300696,37.7732180675925
19462,2015-02-07 08:00:00,ARSON,NORTHERN,2700 Block of POLK ST,-122.423064957893,37.8020242365357
19562,2015-02-06 21:35:00,DRUNKENNESS,PARK,DIVISADERO ST / FULTON ST,-122.438180582321,37.77685569004471
19571,2015-02-06 21:00:00,ARSON,CENTRAL,700 Block of BAY ST,-122.419359266314,37.8048384367685
19703,2015-02-06 16:00:00,RUNAWAY,BAYVIEW,1400 Block of PHELPS ST,-122.394438859914,37.73644389967321
19985,2015-02-05 21:29:00,DRUNKENNESS,BAYVIEW,1500 Block of NEWCOMB AV,-122.388817917114,37.734752508079296
20108,2015-02-05 15:57:00,DRUNKENNESS,SOUTHERN,1ST ST / HOWARD ST,-122.396039441019,37.78853681880009
20656,2015-02-04 12:23:00,DRUNKENNESS,CENTRAL,600 Block of FILBERT ST,-122.410199135855,37.8012139881945
20767,2015-02-04 07:00:00,RUNAWAY,INGLESIDE,500 Block of CARTER ST,-122.423628041297,37.70880618460679
20974,2015-02-03 18:00:00,ARSON,INGLESIDE,700 Block of ROLPH ST,-122.431015257276,37.7117445002313
21036,2015-02-03 15:59:00,KIDNAPPING,TENDERLOIN,8TH ST / MARKET ST,-122.414743835382,37.77871926278901
21067,2015-02-03 14:01:00,DRUNKENNESS,PARK,HAIGHT ST / MASONIC AV,-122.4453467866,37.7702081959172
21080,2015-02-03 13:15:00,DRUNKENNESS,INGLESIDE,300 Block of SAWYER ST,-122.414200995694,37.7137889657104
21081,2015-02-03 13:15:00,ARSON,INGLESIDE,300 Block of SAWYER ST,-122.414200995694,37.7137889657104
21121,2015-02-03 11:49:00,DRUNKENNESS,CENTRAL,FILBERT ST / STOCKTON ST,-122.409373489901,37.8013694186977
21217,2015-02-03 05:08:00,ARSON,BAYVIEW,0 Block of MIDDLEPOINT RD,-122.37934537972,37.73574190685721
21318,2015-02-02 21:30:00,KIDNAPPING,NORTHERN,3000 Block of BUCHANAN ST,-122.432231936901,37.7979906413415
21346,2015-02-02 20:30:00,ARSON,BAYVIEW,0 Block of REARDON RD,-122.376900658814,37.72948746365589
21554,2015-02-02 12:56:00,ARSON,MISSION,200 Block of SHOTWELL ST,-122.416374835778,37.7644225165568
21567,2015-02-02 12:00:00,DRUNKENNESS,CENTRAL,600 Block of FILBERT ST,-122.410220142966,37.8013225692058
21610,2015-02-02 10:20:00,KIDNAPPING,INGLESIDE,200 Block of BLYTHDALE AV,-122.420556751442,37.7108945814914
21612,2015-02-02 10:05:00,ARSON,MISSION,500 Block of VALENCIA ST,-122.421876488492,37.7640888944532
21654,2015-02-02 08:00:00,RUNAWAY,SOUTHERN,0 Block of MOSS ST,-122.407999186749,37.7778241673064
21690,2015-02-02 02:06:00,ARSON,BAYVIEW,INGERSON AV / GRIFFITH ST,-122.389279211854,37.716962016099
21962,2015-01-25 10:59:00,DRUNKENNESS,SOUTHERN,5TH ST / MISSION ST,-122.406481972743,37.782731788488704
22260,2015-01-24 17:00:00,RUNAWAY,TARAVAL,200 Block of MINERVA ST,-122.46089518582,37.715691664110295
22437,2015-01-24 04:00:00,KIDNAPPING,PARK,900 Block of HAIGHT ST,-122.43788240956002,37.7711056996825
22464,2015-01-24 02:15:00,KIDNAPPING,PARK,GOLDEN GATE AV / CENTRAL AV,-122.445156824183,37.777886258457
22468,2015-01-24 02:03:00,DRUNKENNESS,SOUTHERN,300 Block of 2ND ST,-122.396331365685,37.7851663341318
22497,2015-01-24 01:00:00,DRUNKENNESS,NORTHERN,2100 Block of CHESTNUT ST,-122.438701348232,37.8004498859761
22582,2015-01-23 22:00:00,KIDNAPPING,INGLESIDE,30TH ST / MISSION ST,-122.421970919029,37.74237522452549
22597,2015-01-23 21:33:00,ARSON,CENTRAL,1500 Block of JONES ST,-122.414985611799,37.795432562454
22780,2015-01-23 15:36:00,DRUNKENNESS,RICHMOND,GEARY BL / ARGUELLO BL,-122.45886061567,37.7812550935484
22875,2015-01-23 09:46:00,ARSON,MISSION,3100 Block of CESAR CHAVEZ ST,-122.412594354828,37.748166005622295
22945,2015-01-23 01:55:00,ARSON,CENTRAL,1500 Block of JONES ST,-122.414985611799,37.795432562454
23052,2015-01-22 20:00:00,KIDNAPPING,CENTRAL,700 Block of GEARY ST,-122.415654629547,37.7864672409674
23236,2015-01-22 12:22:00,RUNAWAY,MISSION,3500 Block of CESAR CHAVEZ ST,-122.420832650303,37.7479994493226
23363,2015-01-22 01:59:00,ARSON,CENTRAL,600 Block of CALIFORNIA ST,-122.405025778458,37.792508340252
